[12:01:36.222][INFO] Logger initialized. Log file: archi.log
[12:01:36.226][INFO] Application init...
[12:01:36.378][INFO] OpenGL 3.3
[12:01:36.397][INFO] Entering state: Loading
[12:01:36.397][INFO] Loading resources (fake)...
[12:01:36.397][INFO] Application init done
[12:01:36.397][INFO] Application run...
[12:01:37.118][TRACE] dt=0.0055035
[12:01:37.124][TRACE] dt=0.0055447
[12:01:37.129][TRACE] dt=0.0055433
[12:01:37.135][TRACE] dt=0.0055642
[12:01:37.141][TRACE] dt=0.0055806
[12:01:37.146][TRACE] dt=0.0054877
[12:01:37.152][TRACE] dt=0.0055699
[12:01:37.157][TRACE] dt=0.0055521
[12:01:37.163][TRACE] dt=0.0055568
[12:01:37.168][TRACE] dt=0.0055332
[12:01:37.174][TRACE] dt=0.0055581
[12:01:37.179][TRACE] dt=0.0055469
[12:01:37.185][TRACE] dt=0.005575
[12:01:37.191][TRACE] dt=0.0055681
[12:01:37.196][TRACE] dt=0.0056093
[12:01:37.202][TRACE] dt=0.0055063
[12:01:37.207][TRACE] dt=0.0055337
[12:01:37.213][TRACE] dt=0.0055473
[12:01:37.218][TRACE] dt=0.0055491
[12:01:37.224][TRACE] dt=0.0056323
[12:01:37.229][TRACE] dt=0.0054751
[12:01:37.235][TRACE] dt=0.0055585
[12:01:37.241][TRACE] dt=0.0055899
[12:01:37.246][TRACE] dt=0.0055376
[12:01:37.252][TRACE] dt=0.0055386
[12:01:37.257][TRACE] dt=0.0055503
[12:01:37.263][TRACE] dt=0.0055578
[12:01:37.268][TRACE] dt=0.0055651
[12:01:37.274][TRACE] dt=0.0055794
[12:01:37.279][TRACE] dt=0.0055352
[12:01:37.285][TRACE] dt=0.0055664
[12:01:37.291][TRACE] dt=0.0055684
[12:01:37.296][TRACE] dt=0.0055413
[12:01:37.302][TRACE] dt=0.0055519
[12:01:37.307][TRACE] dt=0.0055718
[12:01:37.313][TRACE] dt=0.0055362
[12:01:37.318][TRACE] dt=0.0055436
[12:01:37.324][TRACE] dt=0.0055691
[12:01:37.329][TRACE] dt=0.0055595
[12:01:37.335][TRACE] dt=0.0056359
[12:01:37.341][TRACE] dt=0.0054934
[12:01:37.346][TRACE] dt=0.0056528
[12:01:37.352][TRACE] dt=0.0054216
[12:01:37.357][TRACE] dt=0.0056069
[12:01:37.363][TRACE] dt=0.005553
[12:01:37.368][TRACE] dt=0.0055325
[12:01:37.374][TRACE] dt=0.0055372
[12:01:37.379][TRACE] dt=0.0055884
[12:01:37.385][TRACE] dt=0.0055618
[12:01:37.391][TRACE] dt=0.0055588
[12:01:37.396][TRACE] dt=0.0055673
[12:01:37.402][TRACE] dt=0.0055017
[12:01:37.402][INFO] Leaving state: Loading
[12:01:37.402][INFO] Entering state: Menu
[12:01:37.407][INFO] deltaTime (s) last frame: 0.005554 | approx FPS: 180.05
[12:01:37.413][TRACE] dt=0.0055892
[12:01:37.418][TRACE] dt=0.0055173
[12:01:37.424][TRACE] dt=0.005556
[12:01:37.429][TRACE] dt=0.0056197
[12:01:37.435][TRACE] dt=0.0055664
[12:01:37.441][TRACE] dt=0.0055621
[12:01:37.446][TRACE] dt=0.0054766
[12:01:37.452][TRACE] dt=0.0056386
[12:01:37.457][TRACE] dt=0.0054713
[12:01:37.463][TRACE] dt=0.0055648
[12:01:37.468][TRACE] dt=0.0055688
[12:01:37.474][TRACE] dt=0.0055329
[12:01:37.479][TRACE] dt=0.005625
[12:01:37.485][TRACE] dt=0.0054777
[12:01:37.491][TRACE] dt=0.0056121
[12:01:37.496][TRACE] dt=0.0055777
[12:01:37.502][TRACE] dt=0.0056372
[12:01:37.507][TRACE] dt=0.0053896
[12:01:37.513][TRACE] dt=0.0055908
[12:01:37.518][TRACE] dt=0.0056156
[12:01:37.524][TRACE] dt=0.0054712
[12:01:37.529][TRACE] dt=0.0056508
[12:01:37.535][TRACE] dt=0.0055616
[12:01:37.541][TRACE] dt=0.0054814
[12:01:37.546][TRACE] dt=0.0055949
[12:01:37.552][TRACE] dt=0.0055403
[12:01:37.557][TRACE] dt=0.0055153
[12:01:37.563][TRACE] dt=0.0056246
[12:01:37.568][TRACE] dt=0.0054819
[12:01:37.574][TRACE] dt=0.0056157
[12:01:37.579][TRACE] dt=0.005601
[12:01:37.585][TRACE] dt=0.0055255
[12:01:37.591][TRACE] dt=0.0055297
[12:01:37.596][TRACE] dt=0.0054879
[12:01:37.602][TRACE] dt=0.0056713
[12:01:37.607][TRACE] dt=0.0054632
[12:01:37.613][TRACE] dt=0.0055701
[12:01:37.618][TRACE] dt=0.0055781
[12:01:37.624][TRACE] dt=0.0055093
[12:01:37.629][TRACE] dt=0.0055493
[12:01:37.635][TRACE] dt=0.0055646
[12:01:37.641][TRACE] dt=0.0055973
[12:01:37.646][TRACE] dt=0.0055201
[12:01:37.652][TRACE] dt=0.0056304
[12:01:37.657][TRACE] dt=0.0054682
[12:01:37.663][TRACE] dt=0.0055728
[12:01:37.668][TRACE] dt=0.005561
[12:01:37.674][TRACE] dt=0.0055474
[12:01:37.679][TRACE] dt=0.0055263
[12:01:37.685][TRACE] dt=0.0056468
[12:01:37.691][TRACE] dt=0.0055663
[12:01:37.696][TRACE] dt=0.0054736
[12:01:37.702][TRACE] dt=0.0056915
[12:01:37.707][TRACE] dt=0.0055051
[12:01:37.713][TRACE] dt=0.0054935
[12:01:37.718][TRACE] dt=0.0055373
[12:01:37.724][TRACE] dt=0.0055508
[12:01:37.729][TRACE] dt=0.0055725
[12:01:37.735][TRACE] dt=0.0055416
[12:01:37.741][TRACE] dt=0.005567
[12:01:37.746][TRACE] dt=0.0055855
[12:01:37.752][TRACE] dt=0.0055105
[12:01:37.757][TRACE] dt=0.0055665
[12:01:37.763][TRACE] dt=0.0055124
[12:01:37.768][TRACE] dt=0.0056103
[12:01:37.774][TRACE] dt=0.0056347
[12:01:37.779][TRACE] dt=0.0054685
[12:01:37.785][TRACE] dt=0.0055381
[12:01:37.791][TRACE] dt=0.0055843
[12:01:37.796][TRACE] dt=0.0056023
